Pesquería,type,year,value
Langosta,Desembarques (lb),2010,233681.6282
Langosta,Desembarques (lb),2011,368979.868
Langosta,Desembarques (lb),2012,169824.2095
Langosta,Desembarques (lb),2013,257276.8594
Langosta,Desembarques (lb),2014,277645.5658
Langosta,Desembarques (lb),2015,276197.1085
Langosta,Desembarques (lb),2016,274595.6284
Langosta,Desembarques (lb),2017,364783.4359
Langosta,Desembarques (lb),2018,250494.02
Langosta,Desembarques (lb),2019,377144.98
Langosta,Desembarques (lb),2020,241082.73
Langosta,Ingresos (US$),2010,1458315.732
Langosta,Ingresos (US$),2011,2256880.627
Langosta,Ingresos (US$),2012,1140784.045
Langosta,Ingresos (US$),2013,1579323.554
Langosta,Ingresos (US$),2014,2038944.004
Langosta,Ingresos (US$),2015,1994183.743
Langosta,Ingresos (US$),2016,1749229.173
Langosta,Ingresos (US$),2017,2946845.326
Langosta,Ingresos (US$),2018,1916910.559
Langosta,Ingresos (US$),2019,2918180.298
Langosta,Ingresos (US$),2020,1704380.259
Langosta,Precio (US$/lb cola),2010,10
Langosta,Precio (US$/lb cola),2011,9.5
Langosta,Precio (US$/lb cola),2012,9.666666667
Langosta,Precio (US$/lb cola),2013,9.7
Langosta,Precio (US$/lb cola),2014,10.3
Langosta,Precio (US$/lb cola),2015,11.4
Langosta,Precio (US$/lb cola),2016,10
Langosta,Precio (US$/lb cola),2017,11.02
Langosta,Precio (US$/lb cola),2018,11
Langosta,Precio (US$/lb cola),2019,11.7
Langosta,Precio (US$/lb cola),2020,10.3
Langosta,Precio (US$/lb entera),2010,5
Langosta,Precio (US$/lb entera),2011,5
Langosta,Precio (US$/lb entera),2012,5
Langosta,Precio (US$/lb entera),2013,5.08
Langosta,Precio (US$/lb entera),2014,5.2
Langosta,Precio (US$/lb entera),2015,5.6
Langosta,Precio (US$/lb entera),2016,5
Langosta,Precio (US$/lb entera),2017,5.53
Langosta,Precio (US$/lb entera),2018,6.22
Langosta,Precio (US$/lb entera),2019,6.9
Langosta,Precio (US$/lb entera),2020,4.3
Pepino de mar,Capturas (ind),2000,969650
Pepino de mar,Capturas (ind),2001,4213733
Pepino de mar,Capturas (ind),2002,1312473
Pepino de mar,Capturas (ind),2003,3576377
Pepino de mar,Capturas (ind),2004,1894963
Pepino de mar,Capturas (ind),2005,7729942
Pepino de mar,Capturas (ind),2006,4376161
Pepino de mar,Capturas (ind),2007,1963324
Pepino de mar,Capturas (ind),2008,6670746
Pepino de mar,Capturas (ind),2011,3951085
Pepino de mar,Capturas (ind),2015,6754953
Pepino de mar,Capturas (ind),2020,2431712
Pepino de mar,Ingresos (US$),2000,3312407
Pepino de mar,Ingresos (US$),2001,3237261
Pepino de mar,Ingresos (US$),2002,2810693
Pepino de mar,Ingresos (US$),2003,4772741
Pepino de mar,Ingresos (US$),2004,3547910
Pepino de mar,Ingresos (US$),2005,3889190
Pepino de mar,Ingresos (US$),2006,4075290
Pepino de mar,Ingresos (US$),2007,2507280
Pepino de mar,Ingresos (US$),2008,3396012
Pepino de mar,Ingresos (US$),2011,3672934
Pepino de mar,Ingresos (US$),2015,2552943
Pepino de mar,Ingresos (US$),2020,4375224
Pepino de mar,Precio (US$/individuo),2000,0.7
Pepino de mar,Precio (US$/individuo),2001,0.6
Pepino de mar,Precio (US$/individuo),2002,0.7
Pepino de mar,Precio (US$/individuo),2003,0.8
Pepino de mar,Precio (US$/individuo),2004,0.9
Pepino de mar,Precio (US$/individuo),2005,1
Pepino de mar,Precio (US$/individuo),2006,1.2
Pepino de mar,Precio (US$/individuo),2007,1.6
Pepino de mar,Precio (US$/individuo),2008,1.3
Pepino de mar,Precio (US$/individuo),2011,3.8
Pepino de mar,Precio (US$/individuo),2015,2.8
Pepino de mar,Precio (US$/individuo),2020,4
Pesca de altura,Capturas (lb),2017,557
Pesca de altura,Capturas (lb),2018,544
Pesca de altura,Capturas (lb),2019,383
Pesca de altura,Capturas (lb),2020,393
Pesca de altura,Ingresos (US$),2017,938724
Pesca de altura,Ingresos (US$),2018,1026695
Pesca de altura,Ingresos (US$),2019,1188296
Pesca de altura,Ingresos (US$),2020,1450427
Pesca de altura,Precio (US$/lb),2017,2.5
Pesca de altura,Precio (US$/lb),2018,2.6
Pesca de altura,Precio (US$/lb),2019,2.5
Pesca de altura,Precio (US$/lb),2020,2.1
